BB,sb,button,cutoff,hijack,button-3,button-4,button-5,button-6
1,2x+,"22+,jx+,t2s+,t4o+,92s+,95o+,84s+,85o+,74s+,76o,63s+,65o,53s+","22+,qx+,j2s+,j3o+,t2s+,t5o+,92s+,95o+,83s+,85o+,73s+,75o+,63s+,65o,53s+,43s","22+,qx+,j2s+,j3o+,t2s+,t5o+,92s+,95o+,82s+,85o+,73s+,75o+,63s+,65o,52s+,43s","22+,qx+,j2s+,j3o+,t2s+,t6o+,92s+,96o+,82s+,85o+,73s+,75o+,63s+,65o,52s+,54o,42s+","22+,kx+,q2s+,q3o+,j2s+,j5o+,t2s+,t6o+,92s+,96o+,84s+,86o+,73s+,76o,63s+,65o,53s+,43s","22+,kx+,q2s+,q3o+,j2s+,j6o+,t2s+,t6o+,92s+,96o+,84s+,86o+,73s+,76o,63s+,65o,52s+,43s","22+,kx+,q2s+,q4o+,j2s+,j7o+,t2s+,t7o+,93s+,97o+,84s+,86o+,74s+,76o,63s+,53s+,43s"
2,"22+,8x+,72s+,73o+,62s+,63o+,52s+,53o+,42s+,32s","22+,kx+,q2s+,q6o+,j5s+,j8o+,t6s+,t8o+,97s+,87s","22+,ax+,k2s+,k4o+,q3s+,q8o+,j5s+,j8o+,t6s+,t9o,97s+,87s","22+,ax+,k2s+,k5o+,q4s+,q8o+,j7s+,j9o+,t7s+,t9o,97s+,87s","22+,ax+,k2s+,k7o+,q5s+,q9o+,j7s+,j9o+,t7s+,97s+,87s","22+,ax+,k3s+,k9o+,q7s+,qto+,j8s+,jto,t8s+,98s","22+,ax+,k3s+,k9o+,q7s+,qto+,j8s+,jto,t8s+,98s","22+,a2s+,a3o+,k4s+,k9o+,q8s+,qto+,j8s+,jto,t8s+,98s"
3,"22+,tx+,92s+,93o+,82s+,84o+,73s+,75o+,63s+,65o,53s+","22+,ax+,k2s+,k3o+,q3s+,q8o+,j6s+,j8o+,t7s+,t9o,97s+","22+,ax+,k3s+,k6o+,q6s+,q9o+,j8s+,j9o+,t8s+,98s","22+,ax+,k4s+,k9o+,q8s+,q9o+,j8s+,jto,t8s+","22+,ax+,k4s+,k9o+,q8s+,qto+,j8s+,jto,t9s","22+,a2s+,a3o+,k5s+,k9o+,q8s+,qto+,j8s+,jto,t9s","22+,a2s+,a7o+,a5o,k6s+,kto+,q9s+,qto+,j9s+,t9s","22+,a2s+,a7o+,k6s+,kto+,q9s+,qto+,j9s+,t9s"
4,"22+,jx+,t2s+,t3o+,92s+,95o+,83s+,85o+,74s+,76o,64s+,53s+","22+,ax+,k2s+,k4o+,q5s+,q8o+,j7s+,j9o+,t8s+,98s","22+,ax+,k4s+,k8o+,q8s+,q9o+,j9s+,jto,t9s","22+,ax+,k4s+,k8o+,q8s+,qto+,j8s+,jto,t9s","22+,a2s+,a3o+,k6s+,k9o+,q8s+,qto+,j9s+,t9s","22+,a2s+,a4o+,k7s+,kto+,q9s+,qjo,j9s+,t9s","22+,a2s+,a7o+,a5o,k7s+,kto+,q9s+,qjo,j9s+,t9s","22+,a2s+,a8o+,k9s+,kto+,q9s+,jts,t9s"
5,"22+,jx+,t2s+,t5o+,93s+,96o+,84s+,86o+,74s+,76o,64s+,53s+","22+,ax+,k2s+,k5o+,q6s+,q9o+,j8s+,jto,t8s+,97s+,87s,76s","22+,ax+,k3s+,k9o+,q8s+,qto+,j8s+,jto,t8s+,98s,87s","22+,ax+,k6s+,k9o+,q9s+,qto+,j9s+,t8s+,98s","22+,a2s+,a4o+,k7s+,kto+,q9s+,qjo,j9s+,t8s+,98s","22+,a2s+,a8o+,k7s+,kto+,q9s+,qjo,j9s+,t9s,98s","22+,a2s+,a9o+,k9s+,kjo+,q9s+,qjo,j9s+,t9s","22+,a3s+,ato+,k9s+,kjo+,q9s+,j9s+,t9s"
6,"22+,qx+,j2s+,j4o+,t2s+,t6o+,94s+,97o+,84s+,86o+,74s+,76o,64s+,53s+","22+,ax+,k2s+,k7o+,q6s+,q9o+,j8s+,jto,t7s+,97s+,87s,76s","22+,ax+,k5s+,k9o+,q8s+,qto+,j8s+,jto,t8s+,97s+,87s,76s","22+,a2s+,a3o+,k8s+,kto+,q9s+,qjo,j9s+,t8s+,98s","22+,a2s+,a8o+,k7s+,kto+,q9s+,qjo,j8s+,jto,t8s+,98s,87s","22+,a2s+,a9o+,k9s+,kjo+,q9s+,qjo,j9s+,t9s","22+,a7s+,a5s-a3s,ato+,k9s+,kjo+,q9s+,qjo,j9s+,t9s","22+,a8s+,a5s-a4s,ato+,k9s+,kqo,q9s+,jts,t9s"
7,"22+,qx+,j2s+,j6o+,t3s+,t7o+,95s+,97o+,84s+,87o,74s+,76o,64s+,53s+,43s","22+,ax+,k2s+,k8o+,q6s+,qto+,j7s+,jto,t7s+,97s+,86s+,76s,65s","22+,ax+,k6s+,kto+,q9s+,qto+,j8s+,t8s+,98s,87s","22+,a2s+,a7o+,a5o,k7s+,kto+,q9s+,qjo,j8s+,jto,t8s+,98s,87s","22+,a2s+,a9o+,k9s+,kjo+,q9s+,qjo,j8s+,t8s+,98s","22+,a7s+,a5s-a3s,ato+,k9s+,kjo+,q9s+,qjo,j9s+,t9s","22+,a8s+,a5s,ato+,k9s+,kqo,q9s+,j9s+,t9s","33+,a8s+,a5s,ajo+,k9s+,kqo,qts+,jts,t9s"
8,"22+,kx+,q2s+,q3o+,j2s+,j7o+,t4s+,t7o+,95s+,97o+,85s+,87o,74s+,64s+,53s+","22+,ax+,k3s+,k9o+,q8s+,qto+,j7s+,jto,t7s+,t9o,97s+,86s+,76s,65s","22+,ax+,k8s+,kto+,q9s+,qjo,j9s+,t8s+,98s,87s","22+,a2s+,a8o+,k9s+,kto+,q9s+,qjo,j8s+,jto,t8s+,98s","22+,a2s+,ato+,k8s+,kjo+,q9s+,qjo,j9s+,t8s+,98s","22+,a8s+,a5s-a4s,ato+,k9s+,kqo,q9s+,j9s+,t9s","33+,a9s+,ato+,k9s+,kqo,qts+,jts","55+,ats+,ajo+,kts+,qts+,jts"
9,"22+,kx+,q2s+,q5o+,j2s+,j8o+,t5s+,t8o+,95s+,97o+,85s+,87o,74s+,64s+,53s+","22+,ax+,k5s+,k9o+,q8s+,qto+,j8s+,jto,t7s+,97s+,86s+,76s","22+,a2s+,a3o+,k9s+,kto+,q9s+,qjo,j8s+,jto,t8s+,98s,87s","22+,a2s+,a9o+,k8s+,kjo+,q9s+,qjo,j9s+,t8s+,98s","22+,a8s+,a5s-a4s,ato+,k9s+,kjo+,q9s+,qjo,j9s+,t9s","22+,a9s+,a5s,ato+,k9s+,kqo,qts+,jts,t9s","55+,a9s+,a5s,ajo+,k9s+,kqo,qts+,jts","88+,a9s+,a5s,ajo+,kts+,kqo,qts+,jts"
10,"22+,kx+,q2s+,q7o+,j3s+,j8o+,t5s+,t8o+,95s+,97o+,85s+,87o,74s+,64s+,53s+","22+,ax+,k6s+,kto+,q8s+,qto+,j8s+,jto,t8s+,97s+,87s,76s","22+,a2s+,a7o+,a5o,k7s+,kto+,q8s+,qto+,j8s+,jto,t8s+,98s,87s","22+,a7s+,a5s-a3s,ato+,k8s+,kjo+,q8s+,qjo,j8s+,t8s+,98s","22+,a8s+,a5s-a4s,ato+,k9s+,kqo,q9s+,j9s+,t9s","33+,a9s+,a5s,ajo+,k9s+,kqo,qts+,j9s+,t9s","55+,ats+,ajo+,kts+,qts+,jts","99+,a9s+,a5s,ajo+,kts+,qts+,jts"
