BB,SB,Button,Cutoff,Hijack,Button-3,Button-4,Button-5,Button-6
1BB,"100.0%
Any two / N'importe quel main","78.3%
22+ Jx+ T2s+ T4o+ 92s+ 95o+ 84s+ 85o+ 74s+ 76o 63s+ 65o 53s+ ","78.3%
22+ Qx+ J2s+ J3o+ T2s+ T5o+ 92s+ 95o+ 83s+ 85o+ 73s+ 75o+ 63s+ 65o 53s+ 43s ","78.9%
22+ Qx+ J2s+ J3o+ T2s+ T5o+ 92s+ 95o+ 82s+ 85o+ 73s+ 75o+ 63s+ 65o 52s+ 43s ","78.3%
22+ Qx+ J2s+ J3o+ T2s+ T6o+ 92s+ 96o+ 82s+ 85o+ 73s+ 75o+ 63s+ 65o 52s+ 54o 42s+ ","71.6%
22+ Kx+ Q2s+ Q3o+ J2s+ J5o+ T2s+ T6o+ 92s+ 96o+ 84s+ 86o+ 73s+ 76o 63s+ 65o 53s+ 43s ","71.0%
22+ Kx+ Q2s+ Q3o+ J2s+ J6o+ T2s+ T6o+ 92s+ 96o+ 84s+ 86o+ 73s+ 76o 63s+ 65o 52s+ 43s ","65.6%
22+ Kx+ Q2s+ Q4o+ J2s+ J7o+ T2s+ T7o+ 93s+ 97o+ 84s+ 86o+ 74s+ 76o 63s+ 53s+ 43s "
2BB,"94.6%
22+ 8x+ 72s+ 73o+ 62s+ 63o+ 52s+ 53o+ 42s+ 32s ","50.5%
22+ Kx+ Q2s+ Q6o+ J5s+ J8o+ T6s+ T8o+ 97s+ 87s ","45.7%
22+ Ax+ K2s+ K4o+ Q3s+ Q8o+ J5s+ J8o+ T6s+ T9o 97s+ 87s ","42.7%
22+ Ax+ K2s+ K5o+ Q4s+ Q8o+ J7s+ J9o+ T7s+ T9o 97s+ 87s ","38.8%
22+ Ax+ K2s+ K7o+ Q5s+ Q9o+ J7s+ J9o+ T7s+ 97s+ 87s ","33.0%
22+ Ax+ K3s+ K9o+ Q7s+ QTo+ J8s+ JTo T8s+ 98s ","33.0%
22+ Ax+ K3s+ K9o+ Q7s+ QTo+ J8s+ JTo T8s+ 98s ","31.5%
22+ A2s+ A3o+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 98s "
3BB,"84.6%
22+ Tx+ 92s+ 93o+ 82s+ 84o+ 73s+ 75o+ 63s+ 65o 53s+ ","45.7%
22+ Ax+ K2s+ K3o+ Q3s+ Q8o+ J6s+ J8o+ T7s+ T9o 97s+ ","37.9%
22+ Ax+ K3s+ K6o+ Q6s+ Q9o+ J8s+ J9o+ T8s+ 98s ","33.0%
22+ Ax+ K4s+ K9o+ Q8s+ Q9o+ J8s+ JTo T8s+ ","31.8%
22+ Ax+ K4s+ K9o+ Q8s+ QTo+ J8s+ JTo T9s ","30.6%
22+ A2s+ A3o+ K5s+ K9o+ Q8s+ QTo+ J8s+ JTo T9s ","25.2%
22+ A2s+ A7o+ A5o K6s+ KTo+ Q9s+ QTo+ J9s+ T9s ","24.3%
22+ A2s+ A7o+ K6s+ KTo+ Q9s+ QTo+ J9s+ T9s "
4BB,"78.3%
22+ Jx+ T2s+ T3o+ 92s+ 95o+ 83s+ 85o+ 74s+ 76o 64s+ 53s+","41.5%
22+ Ax+ K2s+ K4o+ Q5s+ Q8o+ J7s+ J9o+ T8s+ 98s ","33.3%
22+ Ax+ K4s+ K8o+ Q8s+ Q9o+ J9s+ JTo T9s ","32.7%
22+ Ax+ K4s+ K8o+ Q8s+ QTo+ J8s+ JTo T9s ","29.1%
22+ A2s+ A3o+ K6s+ K9o+ Q8s+ QTo+ J9s+ T9s ","25.8%
22+ A2s+ A4o+ K7s+ KTo+ Q9s+ QJo J9s+ T9s ","24.0%
22+ A2s+ A7o+ A5o K7s+ KTo+ Q9s+ QJo J9s+ T9s ","20.4%
22+ A2s+ A8o+ K9s+ KTo+ Q9s+ JTs T9s "
5BB,"74.1%
22+ Jx+ T2s+ T5o+ 93s+ 96o+ 84s+ 86o+ 74s+ 76o 64s+ 53s+ ","39.1% 
22+ Ax+ K2s+ K5o+ Q6s+ Q9o+ J8s+ JTo T8s+ 97s+ 87s 76s ","33.0%
22+ Ax+ K3s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s ","30.3%
22+ Ax+ K6s+ K9o+ Q9s+ QTo+ J9s+ T8s+ 98s ","26.4%
22+ A2s+ A4o+ K7s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s ","22.5%
22+ A2s+ A8o+ K7s+ KTo+ Q9s+ QJo J9s+ T9s 98s ","19.8%
22+ A2s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T9s ","17.6%
22+ A3s+ ATo+ K9s+ KJo+ Q9s+ J9s+ T9s"
6BB,"70.1%, 22+ Qx+ J2s+ J4o+ T2s+ T6o+ 94s+ 97o+ 84s+ 86o+ 74s+ 76o 64s+ 53s+","37.6%, 22+ Ax+ K2s+ K7o+ Q6s+ Q9o+ J8s+ JTo T7s+ 97s+ 87s 76s ","33.0%, 22+ Ax+ K5s+ K9o+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s ","27.0%, 22+ A2s+ A3o+ K8s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s ","24.3%, 22+ A2s+ A8o+ K7s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s ","19.8%, 22+ A2s+ A9o+ K9s+ KJo+ Q9s+ QJo J9s+ T9s ","18.3%, 22+ A7s+ A5s-A3s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s ","15.5%, 22+ A8s+ A5s-A4s ATo+ K9s+ KQo Q9s+ JTs T9s "
7BB,"66.2%, 22+ Qx+ J2s+ J6o+ T3s+ T7o+ 95s+ 97o+ 84s+ 87o 74s+ 76o 64s+ 53s+ 43s","36.7%, 22+ Ax+ K2s+ K8o+ Q6s+ QTo+ J7s+ JTo T7s+ 97s+ 86s+ 76s 65s ","30.0%, 22+ Ax+ K6s+ KTo+ Q9s+ QTo+ J8s+ T8s+ 98s 87s ","26.1%, 22+ A2s+ A7o+ A5o K7s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s ","20.7%, 22+ A2s+ A9o+ K9s+ KJo+ Q9s+ QJo J8s+ T8s+ 98s ","18.3%, 22+ A7s+ A5s-A3s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s ","15.5%, 22+ A8s+ A5s ATo+ K9s+ KQo Q9s+ J9s+ T9s","13.6%, 33+ A8s+ A5s AJo+ K9s+ KQo QTs+ JTs T9s "
8BB,"62.6%, 22+ Kx+ Q2s+ Q3o+ J2s+ J7o+ T4s+ T7o+ 95s+ 97o+ 85s+ 87o 74s+ 64s+ 53s+","35.7%, 22+ Ax+ K3s+ K9o+ Q8s+ QTo+ J7s+ JTo T7s+ T9o 97s+ 86s+ 76s 65s ","28.2%, 22+ Ax+ K8s+ KTo+ Q9s+ QJo J9s+ T8s+ 98s 87s ","23.4%, 22+ A2s+ A8o+ K9s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s ","19.8%, 22+ A2s+ ATo+ K8s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s ","15.8%, 22+ A8s+ A5s-A4s ATo+ K9s+ KQo Q9s+ J9s+ T9s ","13.6%, 33+ A9s+ ATo+ K9s+ KQo QTs+ JTs ","10.3%, 55+ ATs+ AJo+ KTs+ QTs+ JTs "
9BB,"58.7%, 22+ Kx+ Q2s+ Q5o+ J2s+ J8o+ T5s+ T8o+ 95s+ 97o+ 85s+ 87o 74s+ 64s+ 53s+","33.6%, 22+ Ax+ K5s+ K9o+ Q8s+ QTo+ J8s+ JTo T7s+ 97s+ 86s+ 76s ","28.2%, 22+ A2s+ A3o+ K9s+ KTo+ Q9s+ QJo J8s+ JTo T8s+ 98s 87s ","20.7%, 22+ A2s+ A9o+ K8s+ KJo+ Q9s+ QJo J9s+ T8s+ 98s ","17.6%, 22+ A8s+ A5s-A4s ATo+ K9s+ KJo+ Q9s+ QJo J9s+ T9s ","14.6%, 22+ A9s+ A5s ATo+ K9s+ KQo QTs+ JTs T9s ","12.1%, 55+ A9s+ A5s AJo+ K9s+ KQo QTs+ JTs ","10.4%, 88+ A9s+ A5s AJo+ KTs+ KQo QTs+ JTs "
10BB,"56.6%, 22+ Kx+ Q2s+ Q7o+ J3s+ J8o+ T5s+ T8o+ 95s+ 97o+ 85s+ 87o 74s+ 64s+ 53s+ ","31.8%, 22+ Ax+ K6s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 97s+ 87s 76s ","27.3%, 22+ A2s+ A7o+ A5o K7s+ KTo+ Q8s+ QTo+ J8s+ JTo T8s+ 98s 87s ","19.8%, 22+ A7s+ A5s-A3s ATo+ K8s+ KJo+ Q8s+ QJo J8s+ T8s+ 98s ","15.8%, 22+ A8s+ A5s-A4s ATo+ K9s+ KQo Q9s+ J9s+ T9s ","13.6%, 33+ A9s+ A5s AJo+ K9s+ KQo QTs+ J9s+ T9s ","10.3%, 55+ ATs+ AJo+ KTs+ QTs+ JTs ","9.0%, 99+ A9s+ A5s AJo+ KTs+ QTs+ JTs "
